"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
43237,"LENA","small_airport","Benabarre Airport",42.0228,0.482222,2450,"EU","ES","ES-AR","Huesca","no","LENA",,,"http://aerodromobenabarre.info","https://es.wikipedia.org/wiki/Aeródromo_de_Benabarre","Benabarre,"
43240,"LENB","heliport","Cala'n Blanes Heliport",39.997501373291016,3.8133299350738525,27,"EU","ES","ES-PM","Menorca Island","no","LENB",,,,,
331318,"LENE","small_airport","La Caminera",38.6686679,-3.3031456,,"EU","ES","ES-CM",,"no","LENE",,,,,
43288,"LENH","heliport","Nou Hospital De Mataró Heliport",41.56079864501953,2.429719924926758,638,"EU","ES","ES-CT","Mataró","no","LENH",,,,,
43266,"LENM","heliport","Hospital Can Misses Heliport",38.91749954223633,1.4194400310516357,91,"EU","ES","ES-PM","Ibiza Island","no","LENM",,,,,
333776,"LENN","small_airport","La Centenera",38.11489,-4.11547,2169,"EU","ES","ES-J","Marmolejo","no","LENN",,,,,
313892,"LEO","small_airport","Lekoni Airport",-1.5724,14.2878,2036,"AF","GA","GA-2","Lekoni","no",,"LEO",,,,"Léconi"
4024,"LEOC","small_airport","Ocaña Airport",39.9375,-3.5033299922943115,2405,"EU","ES","ES-CM","Toledo","no","LEOC",,,,,
43291,"LEOR","heliport","Parque De Bomberos De Orriols Heliport",42.132198333740234,2.9038898944854736,530,"EU","ES","ES-CT","Orriols","no","LEOR",,,,,
315993,"LEOS","small_airport","Aeródromo de los Oteros",42.3330555556,-5.4519444444,2620,"EU","ES","ES-LE","Pajares de Los Oteros","no","LEOS",,,"http://www.aerodromolosoteros.com",,
43289,"LEOT","small_airport","Ontur Airport",38.61690139770508,-1.524999976158142,2200,"EU","ES","ES-CM","Ontur","no","LEOT",,,,,
4035,"LEPA","large_airport","Palma De Mallorca Airport",39.551700592,2.73881006241,27,"EU","ES","ES-PM","Palma De Mallorca","yes","LEPA","PMI",,"http://www.aena.es/csee/Satellite?cid=1046276292735&pagename=subHome&Language=EN_GB&SiteName=PMI&c=Page","https://en.wikipedia.org/wiki/Son_Sant_Joan_Airport","Son Sant Joan Airport, LESJ"
43236,"LEPB","heliport","Autoridad Portuaria de Barcelona Heliport",41.36429977416992,2.1830101013183594,29,"EU","ES","ES-CT","Barcelona","no","LEPB",,,,,"Helipuerto de la autoridad portuaria de Barcelona, Port Authority of Barcelona Heliport"
